White	WhiteWin	Draw	BlackWin	Black
S1-A1-A2-Q	20	0	6	A1-A2-B1-Q
G1-Q-A1-B1	10	1	15	S1-A1-Q-A1
G1-Q-A1-A2	24	0	2	G1-G2-A1-Q
G1-Q-A1-A2	22	0	4	B1-B2-S1-Q
G1-A1-Q-A2	20	0	6	G1-S1-B1-Q
G1-A1-Q-A1	21	0	5	S1-S2-Q-B1
G1-A1-Q-A1	22	0	4	G1-S1-Q-B1
B1-Q-S1-B2	10	0	16	S1-Q-A1-A1
B1-B2-S1-Q	10	0	16	S1-Q-S2-S2
B1-B2-Q-S1	7	0	19	G1-Q-A1-A1
B1-A1-B2-Q	5	0	21	G1-Q-S1-S1
A1-S1-Q-B1	8	2	16	S1-A1-Q-A1
A1-G1-A2-Q	4	0	22	S1-A1-Q-A1
S1-S2-A1-Q	22	0	3	S1-G1-Q-B1
S1-S2-A1-Q	20	0	5	G1-S1-B1-Q
S1-S2-A1-Q	14	0	11	G1-B1-B2-Q
S1-Q-S2-B1	13	0	12	S1-Q-A1-A2
S1-Q-S2-A1	17	3	5	G1-G2-B1-Q
S1-Q-G1-B1	5	0	20	S1-Q-A1-A1
S1-Q-A1-A2	17	1	7	S1-B1-G1-Q
S1-Q-A1-A2	20	0	5	B1-S1-S2-Q
S1-Q-A1-A1	18	0	7	A1-Q-B1-B2
S1-G1-B1-Q	6	0	19	G1-B1-Q-B2
S1-G1-A1-Q	9	0	16	S1-G1-Q-B1
S1-B1-A1-Q	13	0	12	S1-A1-Q-B1
S1-A1-S2-Q	9	0	16	S1-A1-Q-A1
S1-A1-Q-B1	9	1	15	S1-Q-S2-S2
S1-A1-Q-A2	22	0	3	G1-G2-A1-Q
S1-A1-Q-A2	17	2	6	G1-B1-Q-B2
S1-A1-B1-Q	4	0	21	S1-Q-A1-A2
S1-A1-A2-Q	18	0	7	S1-S2-B1-Q
M1-S1-B1-Q	0	0	25	S1-Q-A1-A1
G1-Q-A1-A2	19	0	6	S1-S2-Q-B1
G1-Q-A1-A1	14	3	8	G1-Q-S1-B1
G1-Q-A1-A1	22	0	3	A1-S1-Q-B1
G1-G2-Q-B1	12	0	13	S1-A1-Q-A1
G1-B1-B2-Q	6	1	18	S1-Q-A1-A2
G1-B1-A1-Q	8	0	17	S1-A1-Q-A1
G1-A1-Q-A1	18	0	7	S1-Q-S2-B1
G1-A1-A2-Q	9	0	16	S1-S2-Q-A1
B1-Q-B2-S1	9	1	15	S1-Q-A1-A1
B1-B2-A1-Q	9	0	16	S1-A1-Q-A1
A1-Q-G1-B1	8	0	17	S1-Q-A1-A1
A1-Q-B1-B2	5	1	19	G1-Q-A1-A1
A1-B1-A2-Q	6	0	19	G1-A1-Q-A1
